gene	allele	threshold
IGLV1-YE7M	IGLV1-YE7M*02	0.001
IGLV1-ZI3I	IGLV1-ZI3I*01	0.001
IGLV1-ZI3I	IGLV1-ZI3I*02	0.001
IGLV10-2LPI	IGLV10-2LPI*02	0.001
IGLV13-3XEF	IGLV13-3XEF*01	0.001
IGLV13-4CAZ	IGLV13-4CAZ*01	0.001
IGLV13-4CAZ	IGLV13-4CAZ*03	0.001
IGLV13-4CAZ	IGLV13-4CAZ*04	0.001
IGLV13-4CAZ	IGLV13-4CAZ*08	0.001
IGLV13-7QAJ	IGLV13-7QAJ*01	0.001
IGLV13-7QAJ	IGLV13-7QAJ*04	0.001
IGLV13-7QAJ	IGLV13-7QAJ*07	0.001
IGLV13-RLBV	IGLV13-RLBV*05	0.001
IGLV13-RM6H	IGLV13-RM6H*05	0.001
IGLV14-QYQW	IGLV14-QYQW*04	0.001
IGLV14-QYQW	IGLV14-QYQW*05	0.001
IGLV14-QYQW	IGLV14-QYQW*06	0.001
IGLV15-WNKU	IGLV15-WNKU*01	0.001
IGLV16-5QRY	IGLV16-5QRY*01	0.001
IGLV16-5QRY	IGLV16-5QRY*02	0.001
IGLV17-CPNX	IGLV17-CPNX*01	0.001
IGLV18-34KT	IGLV18-34KT*02	0.001
IGLV18-34KT	IGLV18-34KT*05	0.001
IGLV18-34KT	IGLV18-34KT*18	0.001
IGLV18-7DQE	IGLV18-7DQE*02	0.001
IGLV18-7DQE	IGLV18-7DQE*03	0.001
IGLV18-GLHT	IGLV18-GLHT*01	0.001
IGLV18-LFXG	IGLV18-LFXG*09	0.001
IGLV18-LFXG	IGLV18-LFXG*12	0.001
IGLV18-LFXG	IGLV18-LFXG*13	0.001
IGLV18-LFXG	IGLV18-LFXG*14	0.001
IGLV18-LFXG	IGLV18-LFXG*22	0.001
IGLV19-G4WJ	IGLV19-G4WJ*02	0.001
IGLV19-PCOE	IGLV19-PCOE*08	0.001
IGLV19-PCOE	IGLV19-PCOE*09	0.001
IGLV19-UE3U	IGLV19-UE3U*04	0.001
IGLV2-3NOK	IGLV2-3NOK*01	0.001
IGLV2-3NOK	IGLV2-3NOK*02	0.001
IGLV2-3NOK	IGLV2-3NOK*06	0.001
IGLV2-4DY7	IGLV2-4DY7*04	0.001
IGLV2-FL67	IGLV2-FL67*02	0.001
IGLV2-FL67	IGLV2-FL67*03	0.001
IGLV2-FL67	IGLV2-FL67*05	0.001
IGLV2-FL67	IGLV2-FL67*09	0.001
IGLV2-I6W6	IGLV2-I6W6*01	0.001
IGLV2-M5CD	IGLV2-M5CD*02	0.001
IGLV2-NNKN	IGLV2-NNKN*01	0.001
IGLV2-UE2U	IGLV2-UE2U*05	0.001
IGLV2-UE2U	IGLV2-UE2U*06	0.001
IGLV2-UWKA	IGLV2-UWKA*02	0.001
IGLV2-UWKA	IGLV2-UWKA*08	0.001
IGLV20-CWPJ	IGLV20-CWPJ*01	0.001
IGLV20-CWPJ	IGLV20-CWPJ*06	0.001
IGLV20-LHAH	IGLV20-LHAH*04	0.001
IGLV24-7UWK	IGLV24-7UWK*10	0.001
IGLV24-BVHO	IGLV24-BVHO*06/IGLV24-BVHO*09	0.001
IGLV24-OL3F	IGLV24-OL3F*03	0.001
IGLV25-63QE	IGLV25-63QE*01	0.001
IGLV25-63QE	IGLV25-63QE*05	0.001
IGLV25-63QE	IGLV25-63QE*06	0.001
IGLV25-63QE	IGLV25-63QE*08	0.001
IGLV25-63QE	IGLV25-63QE*09	0.001
IGLV25-JH2N	IGLV25-JH2N*05	0.001
IGLV25-N5HP	IGLV25-N5HP*02	0.001
IGLV26-53EQ	IGLV26-53EQ*01	0.001
IGLV26-GNF7	IGLV26-GNF7*02	0.001
IGLV26-KKTJ	IGLV26-KKTJ*02	0.001
IGLV26-KKTJ	IGLV26-KKTJ*04	0.001
IGLV31-JFFW	IGLV31-JFFW*01	0.001
IGLV33-NBMT	IGLV33-NBMT*01	0.001
IGLV34-N3KI	IGLV34-N3KI*01	0.001
IGLV34-N3KI	IGLV34-N3KI*02	0.001
IGLV5-3RO5	IGLV5-3RO5*02	0.001
IGLV5-3RO5	IGLV5-3RO5*04	0.001
IGLV5-UW3K	IGLV5-UW3K*01	0.001
IGLV5-UW3K	IGLV5-UW3K*02	0.001
IGLV5-Y6D5	IGLV5-Y6D5*01	0.001
IGLV6-43U5	IGLV6-43U5*03	0.001
IGLV6-T6U4	IGLV6-T6U4*05	0.001
IGLV6-U6JC	IGLV6-U6JC*01/IGLV6-U6JC*13	0.001
IGLV6-U6JC	IGLV6-U6JC*09	0.001
IGLV7-BWVJ	IGLV7-BWVJ*02	0.001
IGLJ2-4GA4	IGLJ2-4GA4*01	0.001
IGLJ2-LMZW	IGLJ2-LMZW*01	0.001
IGLJ2-XOP7	IGLJ2-XOP7*01	0.001
IGLJ2-YWNK	IGLJ2-YWNK*01	0.001
IGLJ7-3R4H	IGLJ7-3R4H*02	0.002
IGLJ7-3R4H	IGLJ7-3R4H*01	0.002
IGLJ7-JLWC	IGLJ7-JLWC*01	0.001
IGLJ9-PIRL	IGLJ9-PIRL*01	0.002
IGLJ7-SPEB	IGLJ7-SPEB*01	0.001
IGLJ7-ZOTR	IGLJ7-ZOTR*01	0.001
IGLJ8-U5VX	IGLJ8-U5VX*01	0.001
IGKV1-2CRK	IGKV1-2CRK*03	0.001
IGKV1-2CRK	IGKV1-2CRK*05	0.001
IGKV1-2CRK	IGKV1-2CRK*06	0.001
IGKV1-2KYC	IGKV1-2KYC*02	0.001
IGKV1-2WKU	IGKV1-2WKU*10	0.001
IGKV1-2WKU	IGKV1-2WKU*11	0.001
IGKV1-2WKU	IGKV1-2WKU*13	0.001
IGKV1-2WKU	IGKV1-2WKU*14	0.001
IGKV1-2WKU	IGKV1-2WKU*15	0.001
IGKV1-5WKL	IGKV1-5WKL*03	0.001
IGKV1-5WKL	IGKV1-5WKL*06	0.001
IGKV1-6LII	IGKV1-6LII*03	0.001
IGKV1-6MJ2	IGKV1-6MJ2*01	0.001
IGKV1-7OW5	IGKV1-7OW5*09	0.001
IGKV1-7OW5	IGKV1-7OW5*16	0.001
IGKV1-B6M4	IGKV1-B6M4*05	0.001
IGKV1-BHT5	IGKV1-BHT5*07	0.001
IGKV1-C6ID	IGKV1-C6ID*02	0.001
IGKV1-CL4V	IGKV1-CL4V*02	0.001
IGKV1-CL4V	IGKV1-CL4V*11	0.001
IGKV1-CL4V	IGKV1-CL4V*12	0.001
IGKV1-CL4V	IGKV1-CL4V*14	0.002
IGKV1-CQ6J	IGKV1-CQ6J*02	0.001
IGKV1-EDF3	IGKV1-EDF3*03	0.001
IGKV1-EDF3	IGKV1-EDF3*04	0.001
IGKV1-FF5H	IGKV1-FF5H*05	0.001
IGKV1-HJDQ	IGKV1-HJDQ*01	0.001
IGKV1-IQET	IGKV1-IQET*04	0.001
IGKV1-JRTN	IGKV1-JRTN*10	0.001
IGKV1-LILF	IGKV1-LILF*02	0.001
IGKV1-LILF	IGKV1-LILF*06	0.001
IGKV1-LKT2	IGKV1-LKT2*01	0.001
IGKV1-LKT2	IGKV1-LKT2*05	0.001
IGKV1-LKT2	IGKV1-LKT2*08/IGKV1-LKT2*15	0.002
IGKV1-OOGS	IGKV1-OOGS*02	0.001
IGKV1-OYRW	IGKV1-OYRW*03	0.001
IGKV1-QWTS	IGKV1-QWTS*04	0.001
IGKV1-T2VG	IGKV1-T2VG*03	0.001
IGKV1-Z22Q	IGKV1-Z22Q*13	0.001
IGKV1-ZLLK	IGKV1-ZLLK*04	0.001
IGKV1-ZYRW	IGKV1-ZYRW*02	0.001
IGKV1-ZYRW	IGKV1-ZYRW*04	0.001
IGKV14-IRUA	IGKV14-IRUA*03	0.001
IGKV15-OWRA	IGKV15-OWRA*04	0.001
IGKV17-3ZGD	IGKV17-3ZGD*01	0.001
IGKV17-3ZGD	IGKV17-3ZGD*02	0.001
IGKV18-6TCR	IGKV18-6TCR*02	0.001
IGKV18-6TCR	IGKV18-6TCR*04	0.001
IGKV18-CBIS	IGKV18-CBIS*01	0.001
IGKV18-CBIS	IGKV18-CBIS*03/IGKV18-CBIS*04	0.001
IGKV19-7UKD	IGKV19-7UKD*01	0.001
IGKV19-AOP2	IGKV19-AOP2*03	0.001
IGKV19-ATHQ	IGKV19-ATHQ*02	0.001
IGKV19-ATHQ	IGKV19-ATHQ*04	0.001
IGKV19-EDGP	IGKV19-EDGP*02	0.002
IGKV19-EDGP	IGKV19-EDGP*03	0.001
IGKV19-TVG6	IGKV19-TVG6*04	0.001
IGKV19-W5LH	IGKV19-W5LH*02/IGKV19-W5LH*05	0.001
IGKV5-GWIR	IGKV5-GWIR*03	0.001
IGKV8-3EAT	IGKV8-3EAT*01	0.001
IGKV8-3EAT	IGKV8-3EAT*02	0.001
IGKV8-3EAT	IGKV8-3EAT*08	0.001
IGKV8-7LGD	IGKV8-7LGD*06	0.001
IGKV8-7TR6	IGKV8-7TR6*03	0.001
IGKV8-7TR6	IGKV8-7TR6*06	0.001
IGKV8-A5OK	IGKV8-A5OK*02	0.001
IGKV8-CUUV	IGKV8-CUUV*02	0.002
IGKV8-CUUV	IGKV8-CUUV*04	0.001
IGKV8-CUUV	IGKV8-CUUV*07	0.001
IGKV8-DTZ5	IGKV8-DTZ5*01	0.001
IGKV8-EG5C	IGKV8-EG5C*01	0.001
IGKV8-EOM2	IGKV8-EOM2*01	0.001
IGKV8-EOM2	IGKV8-EOM2*04	0.002
IGKV8-EOM2	IGKV8-EOM2*05	0.001
IGKV8-EOM2	IGKV8-EOM2*08	0.001
IGKV8-HC74	IGKV8-HC74*01	0.001
IGKV8-HC74	IGKV8-HC74*03	0.001
IGKV8-LJWZ	IGKV8-LJWZ*01	0.001
IGKV8-LJWZ	IGKV8-LJWZ*02	0.001
IGKV8-LZS4	IGKV8-LZS4*01	0.001
IGKV8-LZS4	IGKV8-LZS4*06	0.004
IGKV8-PGG2	IGKV8-PGG2*03	0.001
IGKV8-QHYS	IGKV8-QHYS*07	0.001
IGKV8-QNWI	IGKV8-QNWI*02/IGKV8-QNWI*05	0.001
IGKV8-QNWI	IGKV8-QNWI*03	0.001
IGKV8-RGFL	IGKV8-RGFL*04	0.001
IGKV8-WE66	IGKV8-WE66*02	0.001
IGKV8-WE66	IGKV8-WE66*05	0.001
IGKV8-XOAA	IGKV8-XOAA*03	0.001
IGKV8-YUNW	IGKV8-YUNW*02	0.001
IGKV1-2KYC	IGKV1-2KYC*04	0.002
IGKV1-2KYC	IGKV1-2KYC*07	0.001
IGKV1-2WKU	IGKV1-2WKU*01	0.001
IGKV1-5WKL	IGKV1-5WKL*08	0.001
IGKV1-6LII	IGKV1-6LII*02	0.001
IGKV1-6LII	IGKV1-6LII*05	0.001
IGKV1-7OW5	IGKV1-7OW5*13	0.001
IGKV1-B6M4	IGKV1-B6M4*06/IGKV1-B6M4*09/IGKV1-B6M4*10	0.002
IGKV1-BHT5	IGKV1-BHT5*03	0.001
IGKV1-CQ6J	IGKV1-CQ6J*07	0.001
IGKV1-EDF3	IGKV1-EDF3*02	0.001
IGKV1-EDF3	IGKV1-EDF3*05	0.001
IGKV1-HJDQ	IGKV1-HJDQ*09	0.001
IGKV1-IQET	IGKV1-IQET*06	0.001
IGKV1-IQET	IGKV1-IQET*08	0.001
IGKV1-LK5T	IGKV1-LK5T*04/IGKV1-LK5T*05	0.001
IGKV1-ZYRW	IGKV1-ZYRW*01	0.001
IGKV14-2QHW	IGKV14-2QHW*01	0.001
IGKV14-IRUA	IGKV14-IRUA*02	0.001
IGKV15-OWRA	IGKV15-OWRA*03	0.001
IGKV17-3ZGD	IGKV17-3ZGD*03	0.001
IGKV19-6QFR	IGKV19-6QFR*03	0.001
IGKV19-AOP2	IGKV19-AOP2*01	0.001
IGKV19-CEBD	IGKV19-CEBD*07	0.001
IGKV19-EDGP	IGKV19-EDGP*07	0.001
IGKV19-FMAS	IGKV19-FMAS*01	0.001
IGKV19-FMAS	IGKV19-FMAS*08	0.001
IGKV19-LU4T	IGKV19-LU4T*01	0.001
IGKV19-LU4T	IGKV19-LU4T*13	0.001
IGKV19-TVG6	IGKV19-TVG6*01	0.001
IGKV8-3EAT	IGKV8-3EAT*04	0.001
IGKV8-5WB2	IGKV8-5WB2*02	0.006
IGKV8-7LGD	IGKV8-7LGD*05	0.004
IGKV8-A5OK	IGKV8-A5OK*03	0.004
IGKV8-QHYS	IGKV8-QHYS*04	0.001
IGKV8-RGFL	IGKV8-RGFL*01	0.001
IGKV1-2CRK	IGKV1-2CRK*04	0.001
IGKV1-3FP6	IGKV1-3FP6*01	0.003
IGKV1-6B4R	IGKV1-6B4R*01	0.002
IGKV1-6LII	IGKV1-6LII*04	0.001
IGKV1-7OW5	IGKV1-7OW5*02	0.001
IGKV1-CL4V	IGKV1-CL4V*01	0.001
IGKV1-HJDQ	IGKV1-HJDQ*11	0.001
IGKV1-HSOV	IGKV1-HSOV*05	0.001
IGKV1-LILF	IGKV1-LILF*01	0.002
IGKV1-LILF	IGKV1-LILF*05	0.001
IGKV1-LKT2	IGKV1-LKT2*14	0.001
IGKV1-OOGS	IGKV1-OOGS*07	0.001
IGKV1-QWTS	IGKV1-QWTS*06	0.001
IGKV1-UB7T	IGKV1-UB7T*07	0.001
IGKV1-ZLLK	IGKV1-ZLLK*06	0.001
IGKV14-IRUA	IGKV14-IRUA*01	0.001
IGKV19-6QFR	IGKV19-6QFR*01	0.001
IGKV19-6QFR	IGKV19-6QFR*02	0.001
IGKV19-7UKD	IGKV19-7UKD*09	0.001
IGKV19-AOP2	IGKV19-AOP2*02	0.001
IGKV19-AOP2	IGKV19-AOP2*06	0.001
IGKV19-ATHQ	IGKV19-ATHQ*01	0.001
IGKV19-E7WP	IGKV19-E7WP*02	0.003
IGKV19-EDGP	IGKV19-EDGP*04	0.001
IGKV19-TVG6	IGKV19-TVG6*02	0.001
IGKV19-W3Y5	IGKV19-W3Y5*02	0.001
IGKV5-GWIR	IGKV5-GWIR*02	0.001
IGKV8-3EAT	IGKV8-3EAT*05	0.001
