allele	threshold	threshold_min	threshold_max	mean_f1
IGKV1-223S*14	0.001			
IGKV1-223S*15	0.001			
IGKV1-223S*16	0.001			
IGKV1-223S*18	0.001			
IGKV1-223S*20	0.001			
IGKV1-223S*21	0.001			
IGKV1-25EI*01	0.001			
IGKV1-25EI*02	0.001			
IGKV1-25EI*10	0.001			
IGKV1-25EI*11	0.001			
IGKV1-25EI*12	0.001			
IGKV1-2CRK*01	0.001			
IGKV1-2CRK*05	0.001			
IGKV1-2CRK*08	0.001			
IGKV1-2CUF*03	0.001			
IGKV1-2I6R*03	0.001			
IGKV1-2I6R*04	0.001			
IGKV1-2NCM*01	0.001			
IGKV1-2NCM*02	0.001			
IGKV1-2NCM*03	0.001			
IGKV1-2NCM*04	0.001			
IGKV1-2NCM*06	0.001			
IGKV1-2NCM*07	0.001			
IGKV1-2NCM*11	0.001			
IGKV1-2UN4*03	0.001			
IGKV1-2UN4*04	0.001			
IGKV1-2UN4*06	0.001			
IGKV1-2UN4*12	0.001			
IGKV1-2YRB*01	0.001			
IGKV1-2YRB*03	0.001			
IGKV1-2YRB*08	0.001			
IGKV1-436A*02	0.001			
IGKV1-436A*06	0.001			
IGKV1-43MA*01	0.001			
IGKV1-43MA*04	0.001			
IGKV1-43MA*06	0.001			
IGKV1-43MA*07	0.001			
IGKV1-43MA*11	0.001			
IGKV1-4A5D*01	0.001			
IGKV1-4A5D*05	0.001			
IGKV1-4JS6*01	0.001			
IGKV1-4JS6*02	0.001			
IGKV1-4JS6*05	0.001			
IGKV1-4JS6*08	0.001			
IGKV1-4JS6*10	0.001			
IGKV1-4JS6*11	0.001			
IGKV1-4JS6*14	0.001			
IGKV1-4YW5*01	0.001			
IGKV1-4YW5*02	0.001			
IGKV1-4YW5*03	0.001			
IGKV1-4YW5*04	0.001			
IGKV1-536P*01	0.001			
IGKV1-536P*02	0.001			
IGKV1-536P*03	0.001			
IGKV1-536P*04	0.001			
IGKV1-5SWL*02	0.001			
IGKV1-5SWL*04	0.001			
IGKV1-5SWL*07	0.001			
IGKV1-5WKL*01	0.001			
IGKV1-675G*04	0.001			
IGKV1-675G*05	0.001			
IGKV1-675G*06	0.001			
IGKV1-6B4R*02	0.001			
IGKV1-6P2I*01	0.001			
IGKV1-6P2I*02	0.001			
IGKV1-7OW5*04	0.001			
IGKV1-A2D3*01	0.001			
IGKV1-A2D3*03	0.001			
IGKV1-A2D3*04	0.001			
IGKV1-A2D3*05	0.001			
IGKV1-ACRS*01	0.001			
IGKV1-ACRS*02	0.001			
IGKV1-ACRS*03	0.001			
IGKV1-ACRS*04	0.001			
IGKV1-ACWK*01	0.001			
IGKV1-AUQR*01	0.001			
IGKV1-B6M4*01	0.001			
IGKV1-B6M4*04	0.001			
IGKV1-B6M4*06	0.001			
IGKV1-BUSZ*01	0.001			
IGKV1-BUSZ*02	0.001			
IGKV1-C6ID*01	0.001			
