allele	threshold	threshold_min	threshold_max	mean_f1
IGLV13-3ETT*04/IGLV13-3ETT*25	0.001	0.001	0.007	0.895182411080376
IGLV17-2DBU*02	0.001	0.001	0.9	0.895182411080376
IGLV5-276Q*05	0.001	0.001	0.9	0.895182411080376
IGLV16-AV4P*02	0.001	0.001	0.007	0.895182411080376
IGLV3-BR3M*02	0.001	0.001	0.007	0.895182411080376
IGLV1-5WTR*03	0.002	0.002	0.9	0.895322099501677
IGLV18-A6K6*01	0.001	0.001	0.009	0.895182411080376
IGLV21-6YH6*03	0.001	0.001	0.003	0.895182411080376
IGLV23-4D5L*04	0.001	0.001	0.001	0.895182411080376
IGLV4-HI2D*01	0.001	0.001	0.01	0.895182411080376
IGLV13-3ETT*31	0.001	0.001	0.02	0.895182411080376
IGLV16-2E6M*01	0.001	0.001	0.9	0.895182411080376
IGLV18-FO3T*02	0.001	0.001	0.007	0.895182411080376
IGLV2-66YQ*01	0.001	0.001	0.01	0.895182411080376
IGLV3-2EX4*11/IGLV3-2EX4*15	0.001	0.001	0.004	0.895182411080376
IGLV17-2DBU*03	0.001	0.001	0.01	0.895182411080376
IGLV12-CWPJ*04	0.001	0.001	0.002	0.895182411080376
IGLV13-3ETT*01	0.001	0.001	0.01	0.895182411080376
IGLV13-3ETT*22	0.001	0.001	0.006	0.895182411080376
IGLV2-JOO7*02	0.001	0.001	0.01	0.895182411080376
IGLV3-2EX4*25	0.001	0.001	0.001	0.895182411080376
IGLV16-2E6M*03	0.001	0.001	0.9	0.895182411080376
IGLV2-4DY7*01	0.001	0.001	0.9	0.895182411080376
IGLV20-R2TL*01	0.001	0.001	0.9	0.895182411080376
IGLV21-6YH6*02	0.001	0.001	0.003	0.895182411080376
IGLV1-24UP*01	0.001	0.001	0.004	0.895182411080376
IGLV13-25ZB*02	0.001	0.001	0.002	0.895182411080376
IGLV15-BCMZ*05	0.001	0.001	0.01	0.895182411080376
IGLV17-2EQO*04	0.02	0.02	0.04	0.895248897526336
IGLV3-BR3M*07	0.001	0.001	0.006	0.895182411080376
IGLV13-25ZB*01	0.001	0.001	0.001	0.895182411080376
IGLV17-6TQL*05	0.001	0.001	0.9	0.895182411080376
IGLV12-BDQY*03	0.001	0.001	0.9	0.895182411080376
IGLV17-6TQL*06	0.001	0.001	0.9	0.895182411080376
IGLV18-N5HP*01	0.001	0.001	0.001	0.895182411080376
IGLV2-66YQ*05	0.001	0.001	0.02	0.895182411080376
IGLV3-BR3M*01	0.001	0.001	0.008	0.895182411080376
IGLV1-24UP*03	0.001	0.001	0.008	0.895182411080376
IGLV17-2DBU*06	0.001	0.001	0.01	0.895182411080376
IGLV6-26PD*06	0.001	0.001	0.01	0.895182411080376
IGLV6-7SYV*01	0.001	0.001	0.01	0.895182411080376
IGLV7-4FHJ*01	0.001	0.001	0.01	0.895182411080376
IGLV7-ZQKQ*01	0.001	0.001	0.005	0.895182411080376
IGLV12-BDQY*02	0.001	0.001	0.9	0.895182411080376
IGLV3-2EX4*09	0.001	0.001	0.9	0.895182411080376
IGLV6-26PD*04	0.001	0.001	0.9	0.895182411080376
IGLV1-SCAH*01	0.001	0.001	0.9	0.895182411080376
IGLV26-D2KF*01	0.001	0.001	0.9	0.895182411080376
IGLV7-22ZI*03	0.001	0.001	0.9	0.895182411080376
IGLV1-24UP*04	0.001			
IGLV1-24UP*07	0.001			
IGLV1-42NW*01	0.001			
IGLV1-42NW*06	0.001			
IGLV1-42NW*08	0.001			
IGLV1-42NW*09	0.001			
IGLV1-5WTR*05	0.001			
IGLV1-OISC*02	0.001			
IGLV10-2LPI*02	0.001			
IGLV12-2SBP*02	0.001			
IGLV12-CWPJ*01	0.001			
IGLV12-CWPJ*03	0.001			
IGLV13-3ETT*03	0.001			
IGLV13-3ETT*05	0.001			
IGLV13-3ETT*07	0.001			
IGLV13-3ETT*09	0.001			
IGLV13-3ETT*11	0.001			
IGLV13-3ETT*18	0.001			
IGLV13-3ETT*26	0.001			
IGLV13-3ETT*36	0.001			
IGLV13-3ETT*37	0.001			
IGLV14-WNKU*01	0.001			
IGLV15-BCMZ*01	0.001			
IGLV15-BCMZ*06	0.001			
IGLV15-UE3U*02	0.001			
IGLV16-2E6M*02	0.001			
IGLV16-AV4P*01	0.001			
IGLV17-2DBU*05	0.001			
IGLV17-2EQO*01/IGLV17-2EQO*05	0.001			
IGLV17-FZVN*01	0.001			
IGLV18-63QE*01	0.001			
IGLV18-63QE*02	0.001			
IGLV18-63QE*04	0.001			
IGLV18-63QE*06	0.001			
IGLV18-63QE*07	0.001			
IGLV18-FO3T*03	0.001			
IGLV18-FO3T*05	0.001			
IGLV18-N5HP*02	0.001			
IGLV19-53EQ*01	0.001			
IGLV19-GNF7*02	0.001			
IGLV2-3NOK*01	0.001			
IGLV2-3NOK*03	0.001			
IGLV2-3NOK*05	0.001			
IGLV2-4DY7*03	0.001			
IGLV2-4HKX*01	0.001			
IGLV2-66YQ*04	0.001			
IGLV2-66YQ*08	0.001			
IGLV2-66YQ*10	0.001			
IGLV2-66YQ*14	0.001			
IGLV2-66YQ*15	0.001			
IGLV2-66YQ*16	0.001			
IGLV2-I6W6*01	0.001			
IGLV2-JOO7*04	0.001			
IGLV2-JOO7*05	0.001			
IGLV2-NNKN*01	0.001			
IGLV21-NBMT*01	0.001			
IGLV25-5QRY*01	0.001			
IGLV25-5QRY*02	0.001			
IGLV26-JFFW*01	0.001			
IGLV27-CPNX*01	0.001			
IGLV3-2EX4*03	0.001			
IGLV3-2EX4*04	0.001			
IGLV3-2EX4*16	0.001			
IGLV3-2EX4*19	0.001			
IGLV3-2EX4*20	0.001			
IGLV3-2EX4*24	0.001			
IGLV3-2EX4*26	0.001			
IGLV3-34KT*02	0.001			
IGLV3-34KT*03	0.001			
IGLV3-34KT*04	0.001			
IGLV3-GLHT*01	0.001			
IGLV4-HI2D*02	0.001			
IGLV4-HI2D*03	0.001			
IGLV5-276Q*01	0.001			
IGLV5-276Q*06	0.001			
IGLV5-3RO5*02	0.001			
IGLV5-3RO5*05	0.001			
IGLV5-AZDI*01	0.001			
IGLV5-AZDI*03	0.001			
IGLV5-K637*02	0.001			
IGLV6-26PD*01	0.001			
IGLV6-26PD*07	0.001			
IGLV6-7SYV*02	0.001			
IGLV6-JFHG*01/IGLV6-JFHG*02	0.001			
IGLV7-BWVJ*02	0.001			
IGLV8-5YTT*03	0.001			
IGLV8-5YTT*06	0.001			
IGLV8-5YTT*08	0.001			
